"ROIName","Radius","XCord","YCord","ZCord","ROIRegion"
"1","Precentral_L","30.4286606438325","-38","-6.5","49.5","Frontal"
"2","Precentral_R","30.0214661180106","40","-7.5","49","Frontal"
"3","Frontal_Sup_L","30.6931219936386","-19.5","32","41","Frontal"
"4","Frontal_Sup_R","31.7774268557195","24.5","29.5","39","Frontal"
"5","Frontal_Sup_Orb_L","19.7074070079492","-19.5","42","-11.5","Frontal"
"6","Frontal_Sup_Orb_R","19.8818028477274","20.5","44","-11.5","Frontal"
"7","Frontal_Mid_L","33.8313447080066","-35.5","28.5","33","Frontal"
"8","Frontal_Mid_R","34.3057769482987","39.5","28.5","33","Frontal"
"9","Frontal_Mid_Orb_L","19.2307954871436","-31.5","49.5","-10","Frontal"
"10","Frontal_Mid_Orb_R","20.0473876319394","35.5","50.5","-10","Frontal"
"11","Frontal_Inf_Oper_L","20.2233302313008","-47.5","15.5","19","Frontal"
"12","Frontal_Inf_Oper_R","22.3564523841743","48.5","15.5","20","Frontal"
"13","Frontal_Inf_Tri_L","27.1911447529185","-45","31.5","16","Frontal"
"14","Frontal_Inf_Tri_R","25.779195214259","48.5","33.5","16","Frontal"
"15","Frontal_Inf_Orb_L","23.8638119962336","-33.5","33","-12","Frontal"
"16","Frontal_Inf_Orb_R","23.9553568240898","39","33","-12","Frontal"
"17","Rolandic_Oper_L","19.9490369151685","-48.5","-11.5","13","Insula"
"18","Rolandic_Oper_R","22.0583848627363","53.5","-8","12.5","Insula"
"19","Supp_Motor_Area_L","25.8542136653718","-7.5","6","63","Frontal"
"20","Supp_Motor_Area_R","26.630071330051","9.5","0.5","64","Frontal"
"21","Olfactory_L","13.1269611581932","-12.5","19","-8.5","Frontal"
"22","Olfactory_R","13.1732239587627","16","20","-9","Frontal"
"23","Frontal_Sup_Med_L","28.7855766255491","-7","46.5","33","Frontal"
"24","Frontal_Sup_Med_R","25.7022239138964","11","48.5","33","Frontal"
"25","Frontal_Med_Orb_L","17.9587532926604","-6","48.5","-6.5","Frontal"
"26","Frontal_Med_Orb_R","19.0101515465205","8","48","-7","Frontal"
"27","Rectus_L","19.0046156837886","-8.5","41","-16.5","Frontal"
"28","Rectus_R","18.1002635208828","11.5","40","-16.5","Frontal"
"29","Insula_L","24.6758143167699","-35.5","2.5","3","Insula"
"30","Insula_R","24.1746518730434","38","3.5","3","Insula"
"31","Cingulum_Ant_L","22.4328864307427","-6.5","27.5","12","Limbic"
"32","Cingulum_Ant_R","21.8572018493533","9.5","30.5","11.5","Limbic"
"33","Cingulum_Mid_L","24.9395874639454","-6.5","-9.5","45","Limbic"
"34","Cingulum_Mid_R","25.9337564152437","9","-3","43","Limbic"
"35","Cingulum_Post_L","15.4876766425842","-6.5","-40.5","21.5","Limbic"
"36","Cingulum_Post_R","13.8452341902635","9","-44.5","20","Limbic"
"37","Hippocampus_L","19.5473318746789","-23.5","-19","-6.5","Limbic"
"38","Hippocampus_R","19.6661240234584","27","-19.5","-6.5","Limbic"
"39","ParaHippocampal_L","19.9087509806352","-21.5","-17","-18","Limbic"
"40","ParaHippocampal_R","20.8223871385755","26","-11","-18","Limbic"
"41","Amygdala_L","12.0115629287187","-20.5","0.5","-17.5","Limbic"
"42","Amygdala_R","12.5252821638339","27","1","-18.5","Limbic"
"43","Calcarine_L","26.2833891070451","-9.5","-72.5","6","Occipital"
"44","Calcarine_R","24.5989335691224","17","-71.5","8","Occipital"
"45","Cuneus_L","22.9785559422658","-7.5","-76.5","25.5","Occipital"
"46","Cuneus_R","22.4553848422893","15","-76","28","Occipital"
"47","Lingual_L","25.6784863385143","-16.5","-64.5","-3","Occipital"
"48","Lingual_R","26.4240139624735","23","-63.5","-3","Occipital"
"49","Occipital_Sup_L","22.0980472329844","-14.5","-80.5","27","Occipital"
"50","Occipital_Sup_R","22.3397669640701","24.5","-79.5","27.5","Occipital"
"51","Occipital_Mid_L","29.6207822156763","-29.5","-78.5","19","Occipital"
"52","Occipital_Mid_R","25.4643870416676","41.5","-79.5","21","Occipital"
"53","Occipital_Inf_L","19.6056071698692","-33.5","-78","-8","Occipital"
"54","Occipital_Inf_R","19.940657430453","38.5","-78.5","-7","Occipital"
"55","Fusiform_L","26.3680398366449","-30.5","-37.5","-22.5","Temporal"
"56","Fusiform_R","27.2464855327823","36","-31.5","-21.5","Temporal"
"57","Postcentral_L","31.431698822988","-38.5","-21.5","50","Parietal"
"58","Postcentral_R","31.2958154640251","40","-24.5","50","Parietal"
"59","Parietal_Sup_L","25.467984940698","-23.5","-58.5","62","Parietal"
"60","Parietal_Sup_R","25.9891473443924","31.5","-54.5","65","Parietal"
"61","Parietal_Inf_L","26.8916554411473","-41","-49.5","50","Parietal"
"62","Parietal_Inf_R","22.0789176725647","44","-46.5","50","Parietal"
"63","SupraMarginal_L","21.4773513073636","-53.5","-34.5","31.5","Parietal"
"64","SupraMarginal_R","25.0770953412776","49.5","-29","37","Parietal"
"65","Angular_L","21.0392312749543","-42.5","-60.5","39","Parietal"
"66","Angular_R","24.1065861260155","44.5","-60.5","41","Parietal"
"67","Precuneus_L","30.4947585725717","-11.5","-57","43.5","Parietal"
"68","Precuneus_R","29.6564511952989","15.5","-57","41","Parietal"
"69","Paracentral_L","22.1219127061462","-9","-24.5","68.5","Frontal"
"70","Paracentral_R","18.8454686366494","8","-29","66","Frontal"
"71","Caudate_L","19.7314090932718","-10.5","2.5","8","Subcortical"
"72","Caudate_R","19.9507119676064","13","3.5","8","Subcortical"
"73","Putamen_L","19.9515493883582","-20.5","1.5","4","Subcortical"
"74","Putamen_R","20.4162756184068","25.5","3.5","4","Subcortical"
"75","Pallidum_L","13.1713028235511","-17","-0.5","2","Subcortical"
"76","Pallidum_R","12.982224225777","21.5","0.5","2.5","Subcortical"
"77","Thalamus_L","20.5671011620596","-10.5","-17.5","10.5","Subcortical"
"78","Thalamus_R","20.3271204405092","13","-18","10","Subcortical"
"79","Heschl_L","12.1734079944278","-47.5","-18","10.5","Temporal"
"80","Heschl_R","12.4633593687395","51.5","-11.5","12.5","Temporal"
"81","Temporal_Sup_L","26.3555688210915","-52","-21.5","5.5","Temporal"
"82","Temporal_Sup_R","29.3404195460421","54","-26","5","Temporal"
"83","Temporal_Pole_Sup_L","21.7068550620504","-38.5","15.5","-16","Temporal"
"84","Temporal_Pole_Sup_R","22.0041314554962","46.5","16.5","-14.5","Temporal"
"85","Temporal_Mid_L","34.0141233135664","-53.5","-31","-4","Temporal"
"86","Temporal_Mid_R","32.8607539464422","55.5","-33","-3","Temporal"
"87","Temporal_Pole_Mid_L","18.1550393664697","-37.5","14","-32","Temporal"
"88","Temporal_Pole_Mid_R","21.1568006045123","44.5","15.5","-27.5","Temporal"
"89","Temporal_Inf_L","29.4902773666761","-47.5","-24.5","-23","Temporal"
"90","Temporal_Inf_R","30.5341371785261","49.5","-30","-22.5","Temporal"
"91","Cerebelum_Crus1_L","27.4426352417601","-29.5","-61.5","-27","Cerebellum"
"92","Cerebelum_Crus1_R","27.5966844718541","34","-61.5","-28","Cerebellum"
"93","Cerebelum_Crus2_L","24.7799352101495","-26.5","-63.5","-35","Cerebellum"
"94","Cerebelum_Crus2_R","25.7319602179858","30","-60.5","-37","Cerebellum"
"95","Cerebelum_3_L","10.2344598938241","-8.5","-36.5","-15.5","Cerebellum"
"96","Cerebelum_3_R","11.6960709528515","15","-33.5","-15.5","Cerebellum"
"97","Cerebelum_4_5_L","20.8269989631203","-19","-42","-15.5","Cerebellum"
"98","Cerebelum_4_5_R","18.9109405410068","22","-42","-15.5","Cerebellum"
"99","Cerebelum_6_L","23.9117126580016","-23","-54.5","-21.5","Cerebellum"
"100","Cerebelum_6_R","24.3073887899192","27","-54.5","-23","Cerebellum"
"101","Cerebelum_7b_L","16.6779035333781","-25.5","-54","-42.5","Cerebellum"
"102","Cerebelum_7b_R","16.1726103250328","28.5","-55.5","-46.5","Cerebellum"
"103","Cerebelum_8_L","24.7113466638271","-23","-52","-42.5","Cerebellum"
"104","Cerebelum_8_R","26.3737917133255","26","-53","-43.5","Cerebellum"
"105","Cerebelum_9_L","19.0598298687719","-10.5","-48","-42.5","Cerebellum"
"106","Cerebelum_9_R","18.626116624494","12","-48","-43.5","Cerebellum"
"107","Cerebelum_10_L","10.5342794998315","-22","-33.5","-41.5","Cerebellum"
"108","Cerebelum_10_R","10.8576704663796","28","-33","-40.5","Cerebellum"
"109","Vermis_1_2","7.39254179171371","1.5","-38.5","-17.5","Cerebellum"
"110","Vermis_3","12.2137621282217","2","-39.5","-10","Cerebellum"
"111","Vermis_4_5","17.4614115716502","2","-51.5","-7","Cerebellum"
"112","Vermis_6","14.3516381720733","2","-67","-13","Cerebellum"
"113","Vermis_7","11.6076841674854","2","-69.5","-24.5","Cerebellum"
"114","Vermis_8","12.4719370447911","2.5","-64","-32.5","Cerebellum"
"115","Vermis_9","11.0982926248712","2","-52.5","-34.5","Cerebellum"
"116","Vermis_10","9.5610108464686","2","-45","-31","Cerebellum"
